id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
19908,"Belagavi S Civil Engineering Developers","Belagavi","Karnataka","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700099563,purchase@belagaviscivilebuild.in,206000,"Verified RERA Active"
19909,"Tiruppur T Living Spaces LLP","Tiruppur","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099568,purchase@tiruppurtlivingbuild.in,206750,"Verified RERA Active"
19910,"Nizamabad U Projects India","Nizamabad","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700099573,purchase@nizamabaduprojebuild.in,207500,"Verified RERA Active"
19911,"Kakinada V Projects India","Kakinada","Andhra Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700099578,purchase@kakinadavprojecbuild.in,208250,"Verified RERA Active"
19912,"Thiruvananthapuram W Buildtech India Pvt Ltd","Thiruvananthapuram","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700099583,purchase@thiruvananthapubuild.in,209000,"Verified RERA Active"
19913,"Howrah X Civil Engineering Developers","Howrah","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099588,purchase@howrahxcivilengbuild.in,209750,"Verified RERA Active"
19914,"Bhagalpur Y Living Spaces LLP","Bhagalpur","Bihar","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700099593,purchase@bhagalpurylivinbuild.in,210500,"Verified RERA Active"
19915,"Bhubaneswar Z Projects India","Bhubaneswar","Odisha","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700099598,purchase@bhubaneswarzprobuild.in,211250,"Verified RERA Active"
19916,"Dhanbad A Buildtech India Pvt Ltd","Dhanbad","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700099603,purchase@dhanbadabuildtebuild.in,212000,"Verified RERA Active"
19917,"Guwahati B Civil Engineering Developers","Guwahati","Assam & NE","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700099608,purchase@guwahatibcivilebuild.in,212750,"Verified RERA Active"
19918,"Faridabad C Living Spaces LLP","Faridabad","Delhi NCR","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099613,purchase@faridabadclivinbuild.in,213500,"Verified RERA Active"
19919,"Moradabad D Projects India","Moradabad","Uttar Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099618,purchase@moradabaddprojebuild.in,214250,"Verified RERA Active"
19920,"Sri E Buildtech India Pvt Ltd","Sri Ganganagar","Rajasthan","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700099623,purchase@sriebuildtechinbuild.in,215000,"Verified RERA Active"
19921,"Ambala F Buildtech India Pvt Ltd","Ambala","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700099628,purchase@ambalafbuildtecbuild.in,215750,"Verified RERA Active"
19922,"Jalandhar G Civil Engineering Developers","Jalandhar","Punjab","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700099633,purchase@jalandhargcivilbuild.in,216500,"Verified RERA Active"
19923,"Haldwani H Living Spaces LLP","Haldwani","Uttarakhand","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700099638,purchase@haldwanihlivingbuild.in,217250,"Verified RERA Active"
19924,"Baddi I Projects India","Baddi Industrial Zone","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099643,purchase@baddiiprojectsibuild.in,218000,"Verified RERA Active"
19925,"Udhampur J Buildtech India Pvt Ltd","Udhampur","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700099648,purchase@udhampurjbuildtbuild.in,218750,"Verified RERA Active"
19926,"Solapur K Civil Engineering Developers","Solapur","Maharashtra","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700099653,purchase@solapurkcivilenbuild.in,219500,"Verified RERA Active"
19927,"Surat L Living Spaces LLP","Surat","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700099658,purchase@suratllivingspabuild.in,220250,"Verified RERA Active"
19928,"Jabalpur M Projects India","Jabalpur","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099663,purchase@jabalpurmprojecbuild.in,221000,"Verified RERA Active"
19929,"Korba N Buildtech India Pvt Ltd","Korba","Chhattisgarh","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700099668,purchase@korbanbuildtechbuild.in,221750,"Verified RERA Active"
19930,"Panaji O Civil Engineering Developers","Panaji","Goa","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700099673,purchase@panajiocivilengbuild.in,222500,"Verified RERA Active"
19931,"Mangaluru P Civil Engineering Developers","Mangaluru","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700099678,purchase@mangalurupcivilbuild.in,223250,"Verified RERA Active"
19932,"Salem Q Living Spaces LLP","Salem","Tamil Nadu","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700099683,purchase@salemqlivingspabuild.in,224000,"Verified RERA Active"
19933,"Warangal R Projects India","Warangal","Telangana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099688,purchase@warangalrprojecbuild.in,224750,"Verified RERA Active"
19934,"Tirupati S Buildtech India Pvt Ltd","Tirupati","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099693,purchase@tirupatisbuildtbuild.in,225500,"Verified RERA Active"
19935,"Palakkad T Civil Engineering Developers","Palakkad","Kerala","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700099698,purchase@palakkadtcivilebuild.in,226250,"Verified RERA Active"
19936,"Kolkata U Living Spaces LLP","Kolkata","West Bengal","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700099703,purchase@kolkataulivingsbuild.in,227000,"Verified RERA Active"
19937,"Gaya V Projects India","Gaya","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700099708,purchase@gayavprojectsinbuild.in,227750,"Verified RERA Active"
19938,"Rourkela W Buildtech India Pvt Ltd","Rourkela","Odisha","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700099713,purchase@rourkelawbuildtbuild.in,228500,"Verified RERA Active"
19939,"Jamshedpur X Civil Engineering Developers","Jamshedpur","Jharkhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099718,purchase@jamshedpurxcivibuild.in,229250,"Verified RERA Active"
19940,"Shillong Y Living Spaces LLP","Shillong","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700099723,purchase@shillongylivingbuild.in,230000,"Verified RERA Active"
19941,"Greater Z Living Spaces LLP","Greater Noida","Delhi NCR","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700099728,purchase@greaterzlivingsbuild.in,230750,"Verified RERA Active"
19942,"Saharanpur A Projects India","Saharanpur","Uttar Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700099733,purchase@saharanpuraprojbuild.in,231500,"Verified RERA Active"
19943,"Jaipur B Buildtech India Pvt Ltd","Jaipur","Rajasthan","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099738,purchase@jaipurbbuildtecbuild.in,232250,"Verified RERA Active"
19944,"Panipat C Civil Engineering Developers","Panipat","Haryana","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700099743,purchase@panipatccivilenbuild.in,233000,"Verified RERA Active"
19945,"Amritsar D Living Spaces LLP","Amritsar","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700099748,purchase@amritsardlivingbuild.in,233750,"Verified RERA Active"
19946,"Roorkee E Projects India","Roorkee","Uttarakhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700099753,purchase@roorkeeeprojectbuild.in,234500,"Verified RERA Active"
19947,"Mandi F Buildtech India Pvt Ltd","Mandi","Himachal Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700099758,purchase@mandifbuildtechbuild.in,235250,"Verified RERA Active"
19948,"Kathua G Civil Engineering Developers","Kathua","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099763,purchase@kathuagcivilengbuild.in,236000,"Verified RERA Active"
19949,"Amravati H Living Spaces LLP","Amravati","Maharashtra","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099768,purchase@amravatihlivingbuild.in,236750,"Verified RERA Active"
19950,"Gandhinagar I Projects India","Gandhinagar","Gujarat","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700099773,purchase@gandhinagariprobuild.in,237500,"Verified RERA Active"
19951,"Satna J Projects India","Satna","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700099778,purchase@satnajprojectsibuild.in,238250,"Verified RERA Active"
19952,"Bilaspur K Buildtech India Pvt Ltd","Bilaspur","Chhattisgarh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700099783,purchase@bilaspurkbuildtbuild.in,239000,"Verified RERA Active"
19953,"Mapusa L Civil Engineering Developers","Mapusa","Goa","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700099788,purchase@mapusalcivilengbuild.in,239750,"Verified RERA Active"
19954,"Hubballi-Dharwad M Living Spaces LLP","Hubballi-Dharwad","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099793,purchase@hubballidharwadbuild.in,240500,"Verified RERA Active"
19955,"Tiruchirappalli N Projects India","Tiruchirappalli","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700099798,purchase@tiruchirappallibuild.in,241250,"Verified RERA Active"
19956,"Hyderabad O Buildtech India Pvt Ltd","Hyderabad","Telangana","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700099803,purchase@hyderabadobuildbuild.in,242000,"Verified RERA Active"
19957,"Rajahmundry P Civil Engineering Developers","Rajahmundry","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700099808,purchase@rajahmundrypcivbuild.in,242750,"Verified RERA Active"
19958,"Alappuzha Q Living Spaces LLP","Alappuzha","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099813,purchase@alappuzhaqlivinbuild.in,243500,"Verified RERA Active"
19959,"Kharagpur R Projects India","Kharagpur","West Bengal","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700099818,purchase@kharagpurrprojebuild.in,244250,"Verified RERA Active"
19960,"Patna S Buildtech India Pvt Ltd","Patna","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700099823,purchase@patnasbuildtechbuild.in,245000,"Verified RERA Active"
19961,"Sambalpur T Buildtech India Pvt Ltd","Sambalpur","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700099828,purchase@sambalpurtbuildbuild.in,245750,"Verified RERA Active"
19962,"Ranchi U Civil Engineering Developers","Ranchi","Jharkhand","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700099833,purchase@ranchiucivilengbuild.in,246500,"Verified RERA Active"
19963,"Silchar V Living Spaces LLP","Silchar","Assam & NE","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099838,purchase@silcharvlivingsbuild.in,247250,"Verified RERA Active"
19964,"Noida W Projects India","Noida","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099843,purchase@noidawprojectsibuild.in,248000,"Verified RERA Active"
19965,"Lucknow X Buildtech India Pvt Ltd","Lucknow","Uttar Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700099848,purchase@lucknowxbuildtebuild.in,248750,"Verified RERA Active"
19966,"Jodhpur Y Civil Engineering Developers","Jodhpur","Rajasthan","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700099853,purchase@jodhpurycivilenbuild.in,249500,"Verified RERA Active"
19967,"Panchkula Z Living Spaces LLP","Panchkula","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700099858,purchase@panchkulazlivinbuild.in,250250,"Verified RERA Active"
19968,"Ludhiana A Projects India","Ludhiana","Punjab","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700099863,purchase@ludhianaaprojecbuild.in,251000,"Verified RERA Active"
19969,"Haridwar B Buildtech India Pvt Ltd","Haridwar","Uttarakhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099868,purchase@haridwarbbuildtbuild.in,251750,"Verified RERA Active"
19970,"Solan C Civil Engineering Developers","Solan","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700099873,purchase@solanccivilengibuild.in,252500,"Verified RERA Active"
19971,"Baramulla D Civil Engineering Developers","Baramulla","Jammu & Kashmir","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700099878,purchase@baramulladcivilbuild.in,253250,"Verified RERA Active"
19972,"Nagpur E Living Spaces LLP","Nagpur","Maharashtra","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700099883,purchase@nagpurelivingspbuild.in,254000,"Verified RERA Active"
19973,"Vadodara F Projects India","Vadodara","Gujarat","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099888,purchase@vadodarafprojecbuild.in,254750,"Verified RERA Active"
19974,"Gwalior G Buildtech India Pvt Ltd","Gwalior","Madhya Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700099893,purchase@gwaliorgbuildtebuild.in,255500,"Verified RERA Active"
19975,"Bhilai H Civil Engineering Developers","Bhilai","Chhattisgarh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700099898,purchase@bhilaihcivilengbuild.in,256250,"Verified RERA Active"
19976,"Margao I Living Spaces LLP","Margao","Goa","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700099903,purchase@margaoilivingspbuild.in,257000,"Verified RERA Active"
19977,"Mysuru J Projects India","Mysuru","Karnataka","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700099908,purchase@mysurujprojectsbuild.in,257750,"Verified RERA Active"
19978,"Madurai K Buildtech India Pvt Ltd","Madurai","Tamil Nadu","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099913,purchase@maduraikbuildtebuild.in,258500,"Verified RERA Active"
19979,"Secunderabad L Civil Engineering Developers","Secunderabad","Telangana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099918,purchase@secunderabadlcibuild.in,259250,"Verified RERA Active"
19980,"Kurnool M Living Spaces LLP","Kurnool","Andhra Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700099923,purchase@kurnoolmlivingsbuild.in,260000,"Verified RERA Active"
19981,"Kannur N Living Spaces LLP","Kannur","Kerala","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700099928,purchase@kannurnlivingspbuild.in,260750,"Verified RERA Active"
19982,"Malda O Projects India","Malda","West Bengal","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700099933,purchase@maldaoprojectsibuild.in,261500,"Verified RERA Active"
19983,"Arrah P Buildtech India Pvt Ltd","Arrah","Bihar","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700099938,purchase@arrahpbuildtechbuild.in,262250,"Verified RERA Active"
19984,"Balasore Q Civil Engineering Developers","Balasore","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099943,purchase@balasoreqcivilebuild.in,263000,"Verified RERA Active"
19985,"Hazaribagh R Living Spaces LLP","Hazaribagh","Jharkhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700099948,purchase@hazaribaghrlivibuild.in,263750,"Verified RERA Active"
19986,"Agartala S Projects India","Agartala","Assam & NE","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700099953,purchase@agartalasprojecbuild.in,264500,"Verified RERA Active"
19987,"Gurugram T Buildtech India Pvt Ltd","Gurugram","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700099958,purchase@gurugramtbuildtbuild.in,265250,"Verified RERA Active"
19988,"Kanpur U Civil Engineering Developers","Kanpur","Uttar Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099963,purchase@kanpurucivilengbuild.in,266000,"Verified RERA Active"
19989,"Kota V Living Spaces LLP","Kota","Rajasthan","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700099968,purchase@kotavlivingspacbuild.in,266750,"Verified RERA Active"
19990,"Yamunanagar W Projects India","Yamunanagar","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700099973,purchase@yamunanagarwprobuild.in,267500,"Verified RERA Active"
19991,"Hoshiarpur X Projects India","Hoshiarpur","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700099978,purchase@hoshiarpurxprojbuild.in,268250,"Verified RERA Active"
19992,"Dehradun Y Buildtech India Pvt Ltd","Dehradun","Uttarakhand","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700099983,purchase@dehradunybuildtbuild.in,269000,"Verified RERA Active"
19993,"Dharamshala Z Civil Engineering Developers","Dharamshala","Himachal Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700099988,purchase@dharamshalazcivbuild.in,269750,"Verified RERA Active"
19994,"Anantnag A Living Spaces LLP","Anantnag","Jammu & Kashmir","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700099993,purchase@anantnagalivingbuild.in,270500,"Verified RERA Active"
19995,"Aurangabad B Projects India","Aurangabad","Maharashtra","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700099998,purchase@aurangabadbprojbuild.in,271250,"Verified RERA Active"
19996,"Vapi C Buildtech India Pvt Ltd","Vapi","Gujarat","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100003,purchase@vapicbuildtechibuild.in,272000,"Verified RERA Active"
19997,"Ratlam D Civil Engineering Developers","Ratlam","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700100008,purchase@ratlamdcivilengbuild.in,272750,"Verified RERA Active"
19998,"Raipur E Living Spaces LLP","Raipur","Chhattisgarh","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700100013,purchase@raipurelivingspbuild.in,273500,"Verified RERA Active"
19999,"Ponda F Projects India","Ponda","Goa","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100018,purchase@pondafprojectsibuild.in,274250,"Verified RERA Active"
20000,"Bengaluru G Buildtech India Pvt Ltd","Bengaluru","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700100023,purchase@bengalurugbuildbuild.in,25000,"Verified RERA Active"
20001,"Coimbatore H Buildtech India Pvt Ltd","Coimbatore","Tamil Nadu","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700100028,purchase@coimbatorehbuilbuild.in,25750,"Verified RERA Active"
20002,"Khammam I Civil Engineering Developers","Khammam","Telangana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700100033,purchase@khammamicivilenbuild.in,26500,"Verified RERA Active"
20003,"Nellore J Living Spaces LLP","Nellore","Andhra Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100038,purchase@nellorejlivingsbuild.in,27250,"Verified RERA Active"
20004,"Thrissur K Projects India","Thrissur","Kerala","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700100043,purchase@thrissurkprojecbuild.in,28000,"Verified RERA Active"
20005,"Bardhaman L Buildtech India Pvt Ltd","Bardhaman","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700100048,purchase@bardhamanlbuildbuild.in,28750,"Verified RERA Active"
20006,"Bihar M Civil Engineering Developers","Bihar Sharif","Bihar","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100053,purchase@biharmcivilengibuild.in,29500,"Verified RERA Active"
20007,"Cuttack N Living Spaces LLP","Cuttack","Odisha","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700100058,purchase@cuttacknlivingsbuild.in,30250,"Verified RERA Active"
20008,"Deoghar O Projects India","Deoghar","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100063,purchase@deogharoprojectbuild.in,31000,"Verified RERA Active"
20009,"Dibrugarh P Buildtech India Pvt Ltd","Dibrugarh","Assam & NE","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100068,purchase@dibrugarhpbuildbuild.in,31750,"Verified RERA Active"
20010,"South Q Civil Engineering Developers","South Delhi","Delhi NCR","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700100073,purchase@southqcivilengibuild.in,32500,"Verified RERA Active"
20011,"Varanasi R Civil Engineering Developers","Varanasi","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700100078,purchase@varanasircivilebuild.in,33250,"Verified RERA Active"
20012,"Bikaner S Living Spaces LLP","Bikaner","Rajasthan","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700100083,purchase@bikanerslivingsbuild.in,34000,"Verified RERA Active"
20013,"Sonipat T Projects India","Sonipat","Haryana","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700100088,purchase@sonipattprojectbuild.in,34750,"Verified RERA Active"
20014,"Pathankot U Buildtech India Pvt Ltd","Pathankot","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100093,purchase@pathankotubuildbuild.in,35500,"Verified RERA Active"
20015,"Rishikesh V Civil Engineering Developers","Rishikesh","Uttarakhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700100098,purchase@rishikeshvcivilbuild.in,36250,"Verified RERA Active"
20016,"Shimla W Living Spaces LLP","Shimla","Himachal Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700100103,purchase@shimlawlivingspbuild.in,37000,"Verified RERA Active"
20017,"Jammu X Projects India","Jammu","Jammu & Kashmir","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700100108,purchase@jammuxprojectsibuild.in,37750,"Verified RERA Active"
20018,"Navi Y Buildtech India Pvt Ltd","Navi Mumbai","Maharashtra","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100113,purchase@naviybuildtechibuild.in,38500,"Verified RERA Active"
20019,"Rajkot Z Civil Engineering Developers","Rajkot","Gujarat","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700100118,purchase@rajkotzcivilengbuild.in,39250,"Verified RERA Active"
20020,"Ujjain A Living Spaces LLP","Ujjain","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700100123,purchase@ujjainalivingspbuild.in,40000,"Verified RERA Active"
20021,"Rajnandgaon B Living Spaces LLP","Rajnandgaon","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700100128,purchase@rajnandgaonblivbuild.in,40750,"Verified RERA Active"
20022,"Vasco C Projects India","Vasco da Gama","Goa","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700100133,purchase@vascocprojectsibuild.in,41500,"Verified RERA Active"
20023,"Ballari D Buildtech India Pvt Ltd","Ballari","Karnataka","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100138,purchase@ballaridbuildtebuild.in,42250,"Verified RERA Active"
20024,"Chennai E Civil Engineering Developers","Chennai","Tamil Nadu","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100143,purchase@chennaiecivilenbuild.in,43000,"Verified RERA Active"
20025,"Karimnagar F Living Spaces LLP","Karimnagar","Telangana","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700100148,purchase@karimnagarflivibuild.in,43750,"Verified RERA Active"
20026,"Guntur G Projects India","Guntur","Andhra Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100153,purchase@gunturgprojectsbuild.in,44500,"Verified RERA Active"
20027,"Kollam H Buildtech India Pvt Ltd","Kollam","Kerala","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700100158,purchase@kollamhbuildtecbuild.in,45250,"Verified RERA Active"
20028,"Durgapur I Civil Engineering Developers","Durgapur","West Bengal","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700100163,purchase@durgapuricivilebuild.in,46000,"Verified RERA Active"
20029,"Darbhanga J Living Spaces LLP","Darbhanga","Bihar","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100168,purchase@darbhangajlivinbuild.in,46750,"Verified RERA Active"
20030,"Berhampur K Projects India","Berhampur","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700100173,purchase@berhampurkprojebuild.in,47500,"Verified RERA Active"
20031,"Bokaro L Projects India","Bokaro Steel City","Jharkhand","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700100178,purchase@bokarolprojectsbuild.in,48250,"Verified RERA Active"
20032,"Imphal M Buildtech India Pvt Ltd","Imphal","Assam & NE","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700100183,purchase@imphalmbuildtecbuild.in,49000,"Verified RERA Active"
20033,"North N Civil Engineering Developers","North Delhi","Delhi NCR","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100188,purchase@northncivilengibuild.in,49750,"Verified RERA Active"
20034,"Agra O Living Spaces LLP","Agra","Uttar Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700100193,purchase@agraolivingspacbuild.in,50500,"Verified RERA Active"
