id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
503,"Bhilwara J Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013521,procurement@bhilwarabuild503.in,21050
504,"Jaipur K Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829013528,procurement@jaipurbuild504.in,21400
505,"Jodhpur L Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013535,procurement@jodhpurbuild505.in,21750
506,"Udaipur M Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829013542,procurement@udaipurbuild506.in,22100
507,"Kota N Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829013549,procurement@kotabuild507.in,22450
508,"Alwar O Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829013556,procurement@alwarbuild508.in,22800
509,"Ajmer P Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013563,procurement@ajmerbuild509.in,23150
510,"Bhilwara Q Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013570,procurement@bhilwarabuild510.in,23500
511,"Jaipur R Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013577,procurement@jaipurbuild511.in,23850
512,"Jodhpur S Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829013584,procurement@jodhpurbuild512.in,24200
513,"Udaipur T Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829013591,procurement@udaipurbuild513.in,24550
514,"Kota U Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829013598,procurement@kotabuild514.in,24900
515,"Alwar V Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013605,procurement@alwarbuild515.in,25250
516,"Ajmer W Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829013612,procurement@ajmerbuild516.in,25600
517,"Bhilwara X Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013619,procurement@bhilwarabuild517.in,25950
518,"Jaipur Y Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829013626,procurement@jaipurbuild518.in,26300
519,"Jodhpur Z Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829013633,procurement@jodhpurbuild519.in,26650
520,"Udaipur A Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829013640,procurement@udaipurbuild520.in,27000
521,"Kota B Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013647,procurement@kotabuild521.in,27350
522,"Alwar C Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829013654,procurement@alwarbuild522.in,27700
523,"Ajmer D Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013661,procurement@ajmerbuild523.in,28050
524,"Bhilwara E Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829013668,procurement@bhilwarabuild524.in,28400
525,"Jaipur F Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013675,procurement@jaipurbuild525.in,28750
526,"Jodhpur G Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829013682,procurement@jodhpurbuild526.in,29100
527,"Udaipur H Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013689,procurement@udaipurbuild527.in,29450
528,"Kota I Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829013696,procurement@kotabuild528.in,29800
529,"Alwar J Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013703,procurement@alwarbuild529.in,30150
530,"Ajmer K Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829013710,procurement@ajmerbuild530.in,30500
531,"Bhilwara L Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829013717,procurement@bhilwarabuild531.in,30850
532,"Jaipur M Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829013724,procurement@jaipurbuild532.in,31200
533,"Jodhpur N Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013731,procurement@jodhpurbuild533.in,31550
534,"Udaipur O Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829013738,procurement@udaipurbuild534.in,31900
535,"Kota P Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013745,procurement@kotabuild535.in,32250
536,"Alwar Q Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829013752,procurement@alwarbuild536.in,32600
537,"Ajmer R Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829013759,procurement@ajmerbuild537.in,32950
538,"Bhilwara S Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829013766,procurement@bhilwarabuild538.in,33300
539,"Jaipur T Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013773,procurement@jaipurbuild539.in,33650
540,"Jodhpur U Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829013780,procurement@jodhpurbuild540.in,34000
541,"Udaipur V Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013787,procurement@udaipurbuild541.in,34350
542,"Kota W Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829013794,procurement@kotabuild542.in,34700
543,"Alwar X Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829013801,procurement@alwarbuild543.in,35050
544,"Ajmer Y Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829013808,procurement@ajmerbuild544.in,35400
545,"Bhilwara Z Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013815,procurement@bhilwarabuild545.in,35750
546,"Jaipur A Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829013822,procurement@jaipurbuild546.in,36100
547,"Jodhpur B Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013829,procurement@jodhpurbuild547.in,36450
548,"Udaipur C Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829013836,procurement@udaipurbuild548.in,36800
549,"Kota D Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829013843,procurement@kotabuild549.in,37150
550,"Alwar E Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829013850,procurement@alwarbuild550.in,37500
551,"Ajmer F Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013857,procurement@ajmerbuild551.in,37850
552,"Bhilwara G Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829013864,procurement@bhilwarabuild552.in,38200
553,"Jaipur H Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013871,procurement@jaipurbuild553.in,38550
554,"Jodhpur I Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829013878,procurement@jodhpurbuild554.in,38900
555,"Udaipur J Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013885,procurement@udaipurbuild555.in,39250
556,"Kota K Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829013892,procurement@kotabuild556.in,39600
557,"Alwar L Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013899,procurement@alwarbuild557.in,39950
558,"Ajmer M Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829013906,procurement@ajmerbuild558.in,40300
559,"Bhilwara N Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013913,procurement@bhilwarabuild559.in,40650
560,"Jaipur O Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829013920,procurement@jaipurbuild560.in,41000
561,"Jodhpur P Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829013927,procurement@jodhpurbuild561.in,41350
562,"Udaipur Q Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829013934,procurement@udaipurbuild562.in,41700
563,"Kota R Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013941,procurement@kotabuild563.in,42050
564,"Alwar S Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829013948,procurement@alwarbuild564.in,42400
565,"Ajmer T Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013955,procurement@ajmerbuild565.in,42750
566,"Bhilwara U Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829013962,procurement@bhilwarabuild566.in,43100
567,"Jaipur V Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829013969,procurement@jaipurbuild567.in,43450
568,"Jodhpur W Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829013976,procurement@jodhpurbuild568.in,43800
569,"Udaipur X Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013983,procurement@udaipurbuild569.in,44150
570,"Kota Y Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013990,procurement@kotabuild570.in,44500
571,"Alwar Z Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013997,procurement@alwarbuild571.in,44850
572,"Ajmer A Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829014004,procurement@ajmerbuild572.in,45200
573,"Bhilwara B Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829014011,procurement@bhilwarabuild573.in,45550
574,"Jaipur C Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829014018,procurement@jaipurbuild574.in,45900
575,"Jodhpur D Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014025,procurement@jodhpurbuild575.in,46250
576,"Udaipur E Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829014032,procurement@udaipurbuild576.in,46600
577,"Kota F Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014039,procurement@kotabuild577.in,46950
578,"Alwar G Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829014046,procurement@alwarbuild578.in,47300
579,"Ajmer H Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014053,procurement@ajmerbuild579.in,47650
580,"Bhilwara I Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829014060,procurement@bhilwarabuild580.in,48000
581,"Jaipur J Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014067,procurement@jaipurbuild581.in,48350
582,"Jodhpur K Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829014074,procurement@jodhpurbuild582.in,48700
583,"Udaipur L Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014081,procurement@udaipurbuild583.in,49050
584,"Kota M Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829014088,procurement@kotabuild584.in,49400
585,"Alwar N Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829014095,procurement@alwarbuild585.in,49750
586,"Ajmer O Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829014102,procurement@ajmerbuild586.in,50100
587,"Bhilwara P Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014109,procurement@bhilwarabuild587.in,50450
588,"Jaipur Q Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829014116,procurement@jaipurbuild588.in,50800
589,"Jodhpur R Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014123,procurement@jodhpurbuild589.in,51150
590,"Udaipur S Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829014130,procurement@udaipurbuild590.in,51500
591,"Kota T Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829014137,procurement@kotabuild591.in,51850
592,"Alwar U Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829014144,procurement@alwarbuild592.in,52200
593,"Ajmer V Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014151,procurement@ajmerbuild593.in,52550
594,"Bhilwara W Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014158,procurement@bhilwarabuild594.in,52900
595,"Jaipur X Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014165,procurement@jaipurbuild595.in,53250
596,"Jodhpur Y Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829014172,procurement@jodhpurbuild596.in,53600
597,"Udaipur Z Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829014179,procurement@udaipurbuild597.in,53950
598,"Kota A Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829014186,procurement@kotabuild598.in,54300
599,"Alwar B Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014193,procurement@alwarbuild599.in,54650
600,"Ajmer C Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829014200,procurement@ajmerbuild600.in,55000
601,"Bhilwara D Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014207,procurement@bhilwarabuild601.in,55350
602,"Jaipur E Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829014214,procurement@jaipurbuild602.in,55700
603,"Jodhpur F Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829014221,procurement@jodhpurbuild603.in,56050
604,"Udaipur G Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829014228,procurement@udaipurbuild604.in,56400
605,"Kota H Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014235,procurement@kotabuild605.in,56750
606,"Alwar I Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829014242,procurement@alwarbuild606.in,57100
607,"Ajmer J Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014249,procurement@ajmerbuild607.in,57450
608,"Bhilwara K Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829014256,procurement@bhilwarabuild608.in,57800
609,"Jaipur L Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014263,procurement@jaipurbuild609.in,58150
610,"Jodhpur M Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829014270,procurement@jodhpurbuild610.in,58500
611,"Udaipur N Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014277,procurement@udaipurbuild611.in,58850
612,"Kota O Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829014284,procurement@kotabuild612.in,59200
613,"Alwar P Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014291,procurement@alwarbuild613.in,59550
614,"Ajmer Q Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829014298,procurement@ajmerbuild614.in,59900
615,"Bhilwara R Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829014305,procurement@bhilwarabuild615.in,60250
616,"Jaipur S Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829014312,procurement@jaipurbuild616.in,60600
617,"Jodhpur T Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014319,procurement@jodhpurbuild617.in,60950
618,"Udaipur U Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829014326,procurement@udaipurbuild618.in,61300
619,"Kota V Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014333,procurement@kotabuild619.in,61650
620,"Alwar W Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829014340,procurement@alwarbuild620.in,62000
621,"Ajmer X Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829014347,procurement@ajmerbuild621.in,62350
622,"Bhilwara Y Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829014354,procurement@bhilwarabuild622.in,62700
623,"Jaipur Z Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014361,procurement@jaipurbuild623.in,63050
624,"Jodhpur A Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829014368,procurement@jodhpurbuild624.in,63400
625,"Udaipur B Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014375,procurement@udaipurbuild625.in,63750
626,"Kota C Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829014382,procurement@kotabuild626.in,64100
627,"Alwar D Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829014389,procurement@alwarbuild627.in,64450
628,"Ajmer E Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829014396,procurement@ajmerbuild628.in,64800
629,"Bhilwara F Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014403,procurement@bhilwarabuild629.in,65150
630,"Jaipur G Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829014410,procurement@jaipurbuild630.in,65500
631,"Jodhpur H Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014417,procurement@jodhpurbuild631.in,65850
632,"Udaipur I Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829014424,procurement@udaipurbuild632.in,66200
633,"Kota J Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829014431,procurement@kotabuild633.in,66550
634,"Alwar K Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829014438,procurement@alwarbuild634.in,66900
635,"Ajmer L Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014445,procurement@ajmerbuild635.in,67250
636,"Bhilwara M Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829014452,procurement@bhilwarabuild636.in,67600
637,"Jaipur N Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014459,procurement@jaipurbuild637.in,67950
638,"Jodhpur O Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829014466,procurement@jodhpurbuild638.in,68300
639,"Udaipur P Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014473,procurement@udaipurbuild639.in,68650
640,"Kota Q Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829014480,procurement@kotabuild640.in,69000
641,"Alwar R Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014487,procurement@alwarbuild641.in,69350
642,"Ajmer S Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829014494,procurement@ajmerbuild642.in,69700
643,"Bhilwara T Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014501,procurement@bhilwarabuild643.in,70050
644,"Jaipur U Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829014508,procurement@jaipurbuild644.in,70400
645,"Jodhpur V Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829014515,procurement@jodhpurbuild645.in,70750
646,"Udaipur W Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829014522,procurement@udaipurbuild646.in,71100
647,"Kota X Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014529,procurement@kotabuild647.in,71450
648,"Alwar Y Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829014536,procurement@alwarbuild648.in,71800
649,"Ajmer Z Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014543,procurement@ajmerbuild649.in,72150
650,"Bhilwara A Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829014550,procurement@bhilwarabuild650.in,72500
651,"Jaipur B Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829014557,procurement@jaipurbuild651.in,72850
652,"Jodhpur C Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829014564,procurement@jodhpurbuild652.in,73200
653,"Udaipur D Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014571,procurement@udaipurbuild653.in,73550
654,"Kota E Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014578,procurement@kotabuild654.in,73900
655,"Alwar F Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014585,procurement@alwarbuild655.in,74250
656,"Ajmer G Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829014592,procurement@ajmerbuild656.in,74600
657,"Bhilwara H Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829014599,procurement@bhilwarabuild657.in,74950
658,"Jaipur I Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829014606,procurement@jaipurbuild658.in,75300
659,"Jodhpur J Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014613,procurement@jodhpurbuild659.in,75650
660,"Udaipur K Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829014620,procurement@udaipurbuild660.in,76000
661,"Kota L Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014627,procurement@kotabuild661.in,76350
662,"Alwar M Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829014634,procurement@alwarbuild662.in,76700
663,"Ajmer N Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829014641,procurement@ajmerbuild663.in,77050
664,"Bhilwara O Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829014648,procurement@bhilwarabuild664.in,77400
