id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
1139,"Gopal National Hardware & Paints",Gopal Sharma,+919414011139,Kota,"DCM Road","Plot 149, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,323
1140,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011140,Jaipur,"Mansarovar","Plot 150, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,330
1141,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011141,Sikar,"Station Road","Plot 151, Main Market, Station Road, Sikar, Rajasthan",Hardware & Sanitary,337
1142,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011142,Jhunjhunu,"Road No 1","Plot 152, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,344
1143,"Company Bagh Road Hardware & Building Materials",Mukesh Gupta,+919414011143,Alwar,"Company Bagh Road","Plot 153, Main Market, Company Bagh Road, Alwar, Rajasthan",Exclusive Coating Dealer,351
1144,"Yadav Krishna Paint House",Ramesh Yadav,+919414011144,Ajmer,"Parbatpura Industrial Area","Plot 154, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,358
1145,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011145,Kota,"DCM Road","Plot 155, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,365
1146,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011146,Jaipur,"Malviya Nagar","Plot 156, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,372
1147,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011147,Sikar,"Nawalgarh Road","Plot 157, Main Market, Nawalgarh Road, Sikar, Rajasthan",Building Material Stockist,379
1148,"Jain Laxmi Paint Center",Pankaj Jain,+919414011148,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 158, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,386
1149,"Manu Marg Royal Paints & Texture Mart",Vinod Prajapat,+919414011149,Alwar,"Manu Marg","Plot 159, Main Market, Manu Marg, Alwar, Rajasthan",Texture & Putty Specialist,393
1150,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011150,Ajmer,"Parbatpura Industrial Area","Plot 160, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,50
1151,"Ashok Balaji Color World",Ashok Mittal,+919414011151,Kota,"DCM Road","Plot 161, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,57
1152,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011152,Jaipur,"Sanganer Market","Plot 162, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,64
1153,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011153,Sikar,"Salasar Bus Stand Market","Plot 163, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Exclusive Coating Dealer,71
1154,"Sharma National Hardware & Paints",Gopal Sharma,+919414011154,Jhunjhunu,"Peeru Singh Circle","Plot 164, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,78
1155,"MIA Industrial Area Paint & Hardware Store",Rajesh Sharma,+919414011155,Alwar,"MIA Industrial Area","Plot 165, Main Market, MIA Industrial Area, Alwar, Rajasthan",Paint Retailer,85
1156,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011156,Ajmer,"Parbatpura Industrial Area","Plot 166, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,92
1157,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011157,Kota,"DCM Road","Plot 167, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,99
1158,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011158,Jaipur,"Tonk Road","Plot 168, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,106
1159,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011159,Sikar,"Kotwali Market","Plot 169, Main Market, Kotwali Market, Sikar, Rajasthan",Texture & Putty Specialist,113
1160,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011160,Jhunjhunu,"Gugali Market","Plot 170, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,120
1161,"Bhiwadi Alwar Bypass Maruti Paints & Coating Traders",Dinesh Meena,+919414011161,Alwar,"Bhiwadi Alwar Bypass","Plot 171, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Hardware & Sanitary,127
1162,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011162,Ajmer,"Parbatpura Industrial Area","Plot 172, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,134
1163,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011163,Kota,"DCM Road","Plot 173, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,141
1164,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011164,Jaipur,"Vaishali Nagar","Plot 174, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,148
1165,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011165,Sikar,"Piprali Road","Plot 175, Main Market, Piprali Road, Sikar, Rajasthan",Paint Retailer,155
1166,"Mittal Balaji Color World",Ashok Mittal,+919414011166,Jhunjhunu,"Mandawa Road","Plot 176, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,162
1167,"Neemrana Industrial Zone Vijay Paint & Plywood Stores",Kamal Verma,+919414011167,Alwar,"Neemrana Industrial Zone","Plot 177, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Building Material Stockist,169
1168,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011168,Ajmer,"Parbatpura Industrial Area","Plot 178, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,176
1169,"Gopal National Hardware & Paints",Gopal Sharma,+919414011169,Kota,"DCM Road","Plot 179, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,183
1170,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011170,Jaipur,"Mansarovar","Plot 180, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,190
1171,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011171,Sikar,"Fatehpur Road","Plot 181, Main Market, Fatehpur Road, Sikar, Rajasthan",Hardware & Sanitary,197
1172,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011172,Jhunjhunu,"Road No 1","Plot 182, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,204
1173,"Delhi Gate Hardware & Building Materials",Mukesh Gupta,+919414011173,Alwar,"Delhi Gate","Plot 183, Main Market, Delhi Gate, Alwar, Rajasthan",Exclusive Coating Dealer,211
1174,"Yadav Krishna Paint House",Ramesh Yadav,+919414011174,Ajmer,"Parbatpura Industrial Area","Plot 184, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,218
1175,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011175,Kota,"DCM Road","Plot 185, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,225
1176,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011176,Jaipur,"Malviya Nagar","Plot 186, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,232
1177,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011177,Sikar,"Bajoria Road","Plot 187, Main Market, Bajoria Road, Sikar, Rajasthan",Building Material Stockist,239
1178,"Jain Laxmi Paint Center",Pankaj Jain,+919414011178,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 188, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,246
1179,"Hope Circus Royal Paints & Texture Mart",Vinod Prajapat,+919414011179,Alwar,"Hope Circus","Plot 189, Main Market, Hope Circus, Alwar, Rajasthan",Texture & Putty Specialist,253
1180,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011180,Ajmer,"Parbatpura Industrial Area","Plot 190, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,260
1181,"Ashok Balaji Color World",Ashok Mittal,+919414011181,Kota,"DCM Road","Plot 191, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,267
1182,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011182,Jaipur,"Sanganer Market","Plot 192, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,274
1183,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011183,Sikar,"Station Road","Plot 193, Main Market, Station Road, Sikar, Rajasthan",Exclusive Coating Dealer,281
1184,"Sharma National Hardware & Paints",Gopal Sharma,+919414011184,Jhunjhunu,"Peeru Singh Circle","Plot 194, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,288
1185,"Company Bagh Road Paint & Hardware Store",Rajesh Sharma,+919414011185,Alwar,"Company Bagh Road","Plot 195, Main Market, Company Bagh Road, Alwar, Rajasthan",Paint Retailer,295
1186,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011186,Ajmer,"Parbatpura Industrial Area","Plot 196, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,302
1187,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011187,Kota,"DCM Road","Plot 197, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,309
1188,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011188,Jaipur,"Tonk Road","Plot 198, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,316
1189,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011189,Sikar,"Nawalgarh Road","Plot 199, Main Market, Nawalgarh Road, Sikar, Rajasthan",Texture & Putty Specialist,323
1190,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011190,Jhunjhunu,"Gugali Market","Plot 200, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,330
1191,"Manu Marg Maruti Paints & Coating Traders",Dinesh Meena,+919414011191,Alwar,"Manu Marg","Plot 201, Main Market, Manu Marg, Alwar, Rajasthan",Hardware & Sanitary,337
1192,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011192,Ajmer,"Parbatpura Industrial Area","Plot 202, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,344
1193,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011193,Kota,"DCM Road","Plot 203, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,351
1194,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011194,Jaipur,"Vaishali Nagar","Plot 204, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,358
1195,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011195,Sikar,"Salasar Bus Stand Market","Plot 205, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Paint Retailer,365
1196,"Mittal Balaji Color World",Ashok Mittal,+919414011196,Jhunjhunu,"Mandawa Road","Plot 206, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,372
1197,"MIA Industrial Area Vijay Paint & Plywood Stores",Kamal Verma,+919414011197,Alwar,"MIA Industrial Area","Plot 207, Main Market, MIA Industrial Area, Alwar, Rajasthan",Building Material Stockist,379
1198,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011198,Ajmer,"Parbatpura Industrial Area","Plot 208, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,386
1199,"Gopal National Hardware & Paints",Gopal Sharma,+919414011199,Kota,"DCM Road","Plot 209, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,393
1200,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011200,Jaipur,"Mansarovar","Plot 210, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,50
1201,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011201,Sikar,"Kotwali Market","Plot 211, Main Market, Kotwali Market, Sikar, Rajasthan",Hardware & Sanitary,57
1202,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011202,Jhunjhunu,"Road No 1","Plot 212, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,64
1203,"Bhiwadi Alwar Bypass Hardware & Building Materials",Mukesh Gupta,+919414011203,Alwar,"Bhiwadi Alwar Bypass","Plot 213, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Exclusive Coating Dealer,71
1204,"Yadav Krishna Paint House",Ramesh Yadav,+919414011204,Ajmer,"Parbatpura Industrial Area","Plot 214, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,78
1205,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011205,Kota,"DCM Road","Plot 215, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,85
1206,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011206,Jaipur,"Malviya Nagar","Plot 216, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,92
1207,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011207,Sikar,"Piprali Road","Plot 217, Main Market, Piprali Road, Sikar, Rajasthan",Building Material Stockist,99
1208,"Jain Laxmi Paint Center",Pankaj Jain,+919414011208,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 218, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,106
1209,"Neemrana Industrial Zone Royal Paints & Texture Mart",Vinod Prajapat,+919414011209,Alwar,"Neemrana Industrial Zone","Plot 219, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Texture & Putty Specialist,113
1210,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011210,Ajmer,"Parbatpura Industrial Area","Plot 220, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,120
1211,"Ashok Balaji Color World",Ashok Mittal,+919414011211,Kota,"DCM Road","Plot 221, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,127
1212,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011212,Jaipur,"Sanganer Market","Plot 222, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,134
1213,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011213,Sikar,"Fatehpur Road","Plot 223, Main Market, Fatehpur Road, Sikar, Rajasthan",Exclusive Coating Dealer,141
1214,"Sharma National Hardware & Paints",Gopal Sharma,+919414011214,Jhunjhunu,"Peeru Singh Circle","Plot 224, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,148
1215,"Delhi Gate Paint & Hardware Store",Rajesh Sharma,+919414011215,Alwar,"Delhi Gate","Plot 225, Main Market, Delhi Gate, Alwar, Rajasthan",Paint Retailer,155
1216,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011216,Ajmer,"Parbatpura Industrial Area","Plot 226, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,162
1217,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011217,Kota,"DCM Road","Plot 227, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,169
1218,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011218,Jaipur,"Tonk Road","Plot 228, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,176
1219,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011219,Sikar,"Bajoria Road","Plot 229, Main Market, Bajoria Road, Sikar, Rajasthan",Texture & Putty Specialist,183
1220,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011220,Jhunjhunu,"Gugali Market","Plot 230, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,190
1221,"Hope Circus Maruti Paints & Coating Traders",Dinesh Meena,+919414011221,Alwar,"Hope Circus","Plot 231, Main Market, Hope Circus, Alwar, Rajasthan",Hardware & Sanitary,197
1222,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011222,Ajmer,"Parbatpura Industrial Area","Plot 232, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,204
1223,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011223,Kota,"DCM Road","Plot 233, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,211
1224,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011224,Jaipur,"Vaishali Nagar","Plot 234, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,218
1225,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011225,Sikar,"Station Road","Plot 235, Main Market, Station Road, Sikar, Rajasthan",Paint Retailer,225
1226,"Mittal Balaji Color World",Ashok Mittal,+919414011226,Jhunjhunu,"Mandawa Road","Plot 236, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,232
1227,"Company Bagh Road Vijay Paint & Plywood Stores",Kamal Verma,+919414011227,Alwar,"Company Bagh Road","Plot 237, Main Market, Company Bagh Road, Alwar, Rajasthan",Building Material Stockist,239
1228,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011228,Ajmer,"Parbatpura Industrial Area","Plot 238, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,246
1229,"Gopal National Hardware & Paints",Gopal Sharma,+919414011229,Kota,"DCM Road","Plot 239, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,253
1230,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011230,Jaipur,"Mansarovar","Plot 240, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,260
1231,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011231,Sikar,"Nawalgarh Road","Plot 241, Main Market, Nawalgarh Road, Sikar, Rajasthan",Hardware & Sanitary,267
1232,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011232,Jhunjhunu,"Road No 1","Plot 242, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,274
1233,"Manu Marg Hardware & Building Materials",Mukesh Gupta,+919414011233,Alwar,"Manu Marg","Plot 243, Main Market, Manu Marg, Alwar, Rajasthan",Exclusive Coating Dealer,281
1234,"Yadav Krishna Paint House",Ramesh Yadav,+919414011234,Ajmer,"Parbatpura Industrial Area","Plot 244, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,288
1235,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011235,Kota,"DCM Road","Plot 245, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,295
1236,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011236,Jaipur,"Malviya Nagar","Plot 246, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,302
1237,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011237,Sikar,"Salasar Bus Stand Market","Plot 247, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Building Material Stockist,309
1238,"Jain Laxmi Paint Center",Pankaj Jain,+919414011238,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 248, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,316
1239,"MIA Industrial Area Royal Paints & Texture Mart",Vinod Prajapat,+919414011239,Alwar,"MIA Industrial Area","Plot 249, Main Market, MIA Industrial Area, Alwar, Rajasthan",Texture & Putty Specialist,323
1240,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011240,Ajmer,"Parbatpura Industrial Area","Plot 250, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,330
1241,"Ashok Balaji Color World",Ashok Mittal,+919414011241,Kota,"DCM Road","Plot 251, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,337
1242,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011242,Jaipur,"Sanganer Market","Plot 252, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,344
1243,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011243,Sikar,"Kotwali Market","Plot 253, Main Market, Kotwali Market, Sikar, Rajasthan",Exclusive Coating Dealer,351
1244,"Sharma National Hardware & Paints",Gopal Sharma,+919414011244,Jhunjhunu,"Peeru Singh Circle","Plot 254, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,358
1245,"Bhiwadi Alwar Bypass Paint & Hardware Store",Rajesh Sharma,+919414011245,Alwar,"Bhiwadi Alwar Bypass","Plot 255, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Paint Retailer,365
1246,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011246,Ajmer,"Parbatpura Industrial Area","Plot 256, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,372
1247,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011247,Kota,"DCM Road","Plot 257, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,379
1248,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011248,Jaipur,"Tonk Road","Plot 258, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,386
1249,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011249,Sikar,"Piprali Road","Plot 259, Main Market, Piprali Road, Sikar, Rajasthan",Texture & Putty Specialist,393
1250,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011250,Jhunjhunu,"Gugali Market","Plot 10, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,50
1251,"Neemrana Industrial Zone Maruti Paints & Coating Traders",Dinesh Meena,+919414011251,Alwar,"Neemrana Industrial Zone","Plot 11, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Hardware & Sanitary,57
1252,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011252,Ajmer,"Parbatpura Industrial Area","Plot 12, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,64
1253,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011253,Kota,"DCM Road","Plot 13, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,71
1254,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011254,Jaipur,"Vaishali Nagar","Plot 14, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,78
1255,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011255,Sikar,"Fatehpur Road","Plot 15, Main Market, Fatehpur Road, Sikar, Rajasthan",Paint Retailer,85
1256,"Mittal Balaji Color World",Ashok Mittal,+919414011256,Jhunjhunu,"Mandawa Road","Plot 16, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,92
1257,"Delhi Gate Vijay Paint & Plywood Stores",Kamal Verma,+919414011257,Alwar,"Delhi Gate","Plot 17, Main Market, Delhi Gate, Alwar, Rajasthan",Building Material Stockist,99
1258,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011258,Ajmer,"Parbatpura Industrial Area","Plot 18, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,106
1259,"Gopal National Hardware & Paints",Gopal Sharma,+919414011259,Kota,"DCM Road","Plot 19, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,113
1260,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011260,Jaipur,"Mansarovar","Plot 20, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,120
1261,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011261,Sikar,"Bajoria Road","Plot 21, Main Market, Bajoria Road, Sikar, Rajasthan",Hardware & Sanitary,127
1262,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011262,Jhunjhunu,"Road No 1","Plot 22, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,134
1263,"Hope Circus Hardware & Building Materials",Mukesh Gupta,+919414011263,Alwar,"Hope Circus","Plot 23, Main Market, Hope Circus, Alwar, Rajasthan",Exclusive Coating Dealer,141
1264,"Yadav Krishna Paint House",Ramesh Yadav,+919414011264,Ajmer,"Parbatpura Industrial Area","Plot 24, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,148
1265,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011265,Kota,"DCM Road","Plot 25, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,155
1266,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011266,Jaipur,"Malviya Nagar","Plot 26, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,162
1267,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011267,Sikar,"Station Road","Plot 27, Main Market, Station Road, Sikar, Rajasthan",Building Material Stockist,169
1268,"Jain Laxmi Paint Center",Pankaj Jain,+919414011268,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 28, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,176
1269,"Company Bagh Road Royal Paints & Texture Mart",Vinod Prajapat,+919414011269,Alwar,"Company Bagh Road","Plot 29, Main Market, Company Bagh Road, Alwar, Rajasthan",Texture & Putty Specialist,183
1270,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011270,Ajmer,"Parbatpura Industrial Area","Plot 30, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,190
1271,"Ashok Balaji Color World",Ashok Mittal,+919414011271,Kota,"DCM Road","Plot 31, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,197
1272,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011272,Jaipur,"Sanganer Market","Plot 32, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,204
1273,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011273,Sikar,"Nawalgarh Road","Plot 33, Main Market, Nawalgarh Road, Sikar, Rajasthan",Exclusive Coating Dealer,211
1274,"Sharma National Hardware & Paints",Gopal Sharma,+919414011274,Jhunjhunu,"Peeru Singh Circle","Plot 34, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,218
1275,"Manu Marg Paint & Hardware Store",Rajesh Sharma,+919414011275,Alwar,"Manu Marg","Plot 35, Main Market, Manu Marg, Alwar, Rajasthan",Paint Retailer,225
1276,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011276,Ajmer,"Parbatpura Industrial Area","Plot 36, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,232
1277,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011277,Kota,"DCM Road","Plot 37, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,239
1278,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011278,Jaipur,"Tonk Road","Plot 38, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,246
