id,shop_name,district,cluster_area,owner_name,phone,full_address,primary_category,estimated_monthly_volume
2134,"Classic Sanganer Wall Protect & Texture Depot",Bhilwara,"Sanganer Road","Trader C Bhilwara",+919414004279,"Shop 149, Main Road, Sanganer Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",182
2135,"National Tijara Trade Associates",Alwar,"Tijara Road","Trader D Alwar",+919414004281,"Shop 150, Main Road, Tijara Road, Alwar, Rajasthan","Water-Based Paints & Hardware",195
2136,"Ganesh Station Paints & Hardware Mart",Sikar,"Station Road","Trader E Sikar",+919414004283,"Shop 151, Main Road, Station Road, Sikar, Rajasthan","Water-Based Paints & Hardware",208
2137,"Maruti Purani Paint & Sanitary Store",Sri Ganganagar,"Purani Abadi","Trader F Sri Ganganagar",+919414004285,"Shop 152, Main Road, Purani Abadi, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",221
2138,"Balaji Mathura Colors & Coatings Agency",Bharatpur,"Mathura Road","Trader G Bharatpur",+919414004287,"Shop 153, Main Road, Mathura Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",234
2139,"Kalyan Sumerpur Hardware & Building Materials",Pali,"Sumerpur Road","Trader H Pali",+919414004289,"Shop 154, Main Road, Sumerpur Road, Pali, Rajasthan","Water-Based Paints & Hardware",247
2140,"Krishna Collectorate Wall Protect & Texture Depot",Chittorgarh,"Collectorate Road","Trader I Chittorgarh",+919414004291,"Shop 155, Main Road, Collectorate Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",260
2141,"Vikas Kuchaman Trade Associates",Nagaur,"Kuchaman City","Trader J Nagaur",+919414004293,"Shop 156, Main Road, Kuchaman City, Nagaur, Rajasthan","Water-Based Paints & Hardware",273
2142,"Shree Peeru Paints & Hardware Mart",Jhunjhunu,"Peeru Singh Circle","Trader K Jhunjhunu",+919414004295,"Shop 157, Main Road, Peeru Singh Circle, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",286
2143,"Jai Malpura Paint & Sanitary Store",Tonk,"Malpura Road","Trader L Tonk",+919414004297,"Shop 158, Main Road, Malpura Road, Tonk, Rajasthan","Water-Based Paints & Hardware",299
2144,"New Junction Colors & Coatings Agency",Hanumangarh,"Junction Market","Trader M Hanumangarh",+919414004299,"Shop 159, Main Road, Junction Market, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",312
2145,"Royal Station Hardware & Building Materials",Dausa,"Station Road","Trader N Dausa",+919414004301,"Shop 160, Main Road, Station Road, Dausa, Rajasthan","Water-Based Paints & Hardware",325
2146,"Modern Sindhari Wall Protect & Texture Depot",Barmer,"Sindhari Road","Trader O Barmer",+919414004303,"Shop 161, Main Road, Sindhari Road, Barmer, Rajasthan","Water-Based Paints & Hardware",338
2147,"Star Chomu Trade Associates",Jaipur,"Chomu","Trader P Jaipur",+919414004305,"Shop 162, Main Road, Chomu, Jaipur, Rajasthan","Water-Based Paints & Hardware",351
2148,"Classic Shastri Paints & Hardware Mart",Jodhpur,"Shastri Nagar","Trader Q Jodhpur",+919414004307,"Shop 163, Main Road, Shastri Nagar, Jodhpur, Rajasthan","Water-Based Paints & Hardware",364
2149,"National Gumanpura Paint & Sanitary Store",Kota,"Gumanpura","Trader R Kota",+919414004309,"Shop 164, Main Road, Gumanpura, Kota, Rajasthan","Water-Based Paints & Hardware",377
2150,"Ganesh Kote Colors & Coatings Agency",Bikaner,"Kote Gate","Trader S Bikaner",+919414004311,"Shop 165, Main Road, Kote Gate, Bikaner, Rajasthan","Water-Based Paints & Hardware",390
2151,"Maruti Parbatpura Hardware & Building Materials",Ajmer,"Parbatpura Industrial Area","Trader T Ajmer",+919414004313,"Shop 166, Main Road, Parbatpura Industrial Area, Ajmer, Rajasthan","Water-Based Paints & Hardware",403
2152,"Balaji Udaisagar Wall Protect & Texture Depot",Udaipur,"Udaisagar Road","Trader U Udaipur",+919414004315,"Shop 167, Main Road, Udaisagar Road, Udaipur, Rajasthan","Water-Based Paints & Hardware",416
2153,"Kalyan Pur Trade Associates",Bhilwara,"Pur Road","Trader V Bhilwara",+919414004317,"Shop 168, Main Road, Pur Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",429
2154,"Krishna MIA Paints & Hardware Mart",Alwar,"MIA Industrial Area","Trader W Alwar",+919414004319,"Shop 169, Main Road, MIA Industrial Area, Alwar, Rajasthan","Water-Based Paints & Hardware",42
2155,"Vikas Bajoria Paint & Sanitary Store",Sikar,"Bajoria Road","Trader X Sikar",+919414004321,"Shop 170, Main Road, Bajoria Road, Sikar, Rajasthan","Water-Based Paints & Hardware",55
2156,"Shree Birbal Colors & Coatings Agency",Sri Ganganagar,"Birbal Chowk","Trader Y Sri Ganganagar",+919414004323,"Shop 171, Main Road, Birbal Chowk, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",68
2157,"Jai Sewar Hardware & Building Materials",Bharatpur,"Sewar Industrial Area","Trader Z Bharatpur",+919414004325,"Shop 172, Main Road, Sewar Industrial Area, Bharatpur, Rajasthan","Water-Based Paints & Hardware",81
2158,"New Somnath Wall Protect & Texture Depot",Pali,"Somnath Temple Market","Trader A Pali",+919414004327,"Shop 173, Main Road, Somnath Temple Market, Pali, Rajasthan","Water-Based Paints & Hardware",94
2159,"Royal Nimbahera Trade Associates",Chittorgarh,"Nimbahera Town","Trader B Chittorgarh",+919414004329,"Shop 174, Main Road, Nimbahera Town, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",107
2160,"Modern Merta Paints & Hardware Mart",Nagaur,"Merta City","Trader C Nagaur",+919414004331,"Shop 175, Main Road, Merta City, Nagaur, Rajasthan","Water-Based Paints & Hardware",120
2161,"Star Gugali Paint & Sanitary Store",Jhunjhunu,"Gugali Market","Trader D Jhunjhunu",+919414004333,"Shop 176, Main Road, Gugali Market, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",133
2162,"Classic Civil Colors & Coatings Agency",Tonk,"Civil Lines","Trader E Tonk",+919414004335,"Shop 177, Main Road, Civil Lines, Tonk, Rajasthan","Water-Based Paints & Hardware",146
2163,"National Rawatsar Hardware & Building Materials",Hanumangarh,"Rawatsar Road","Trader F Hanumangarh",+919414004337,"Shop 178, Main Road, Rawatsar Road, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",159
2164,"Ganesh Lalsot Wall Protect & Texture Depot",Dausa,"Lalsot Road","Trader G Dausa",+919414004339,"Shop 179, Main Road, Lalsot Road, Dausa, Rajasthan","Water-Based Paints & Hardware",172
2165,"Maruti Balotra Trade Associates",Barmer,"Balotra Textile & Hardware Hub","Trader H Barmer",+919414004341,"Shop 180, Main Road, Balotra Textile & Hardware Hub, Barmer, Rajasthan","Water-Based Paints & Hardware",185
2166,"Balaji Malviya Paints & Hardware Mart",Jaipur,"Malviya Nagar","Trader I Jaipur",+919414004343,"Shop 181, Main Road, Malviya Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",198
2167,"Kalyan Boranada Paint & Sanitary Store",Jodhpur,"Boranada SEZ","Trader J Jodhpur",+919414004345,"Shop 182, Main Road, Boranada SEZ, Jodhpur, Rajasthan","Water-Based Paints & Hardware",211
2168,"Krishna DCM Colors & Coatings Agency",Kota,"DCM Road","Trader K Kota",+919414004347,"Shop 183, Main Road, DCM Road, Kota, Rajasthan","Water-Based Paints & Hardware",224
2169,"Vikas Nokha Hardware & Building Materials",Bikaner,"Nokha Road","Trader L Bikaner",+919414004349,"Shop 184, Main Road, Nokha Road, Bikaner, Rajasthan","Water-Based Paints & Hardware",237
2170,"Shree Kishangarh Wall Protect & Texture Depot",Ajmer,"Kishangarh Marble Mandi","Trader M Ajmer",+919414004351,"Shop 185, Main Road, Kishangarh Marble Mandi, Ajmer, Rajasthan","Water-Based Paints & Hardware",250
2171,"Jai Fatehpura Trade Associates",Udaipur,"Fatehpura","Trader N Udaipur",+919414004353,"Shop 186, Main Road, Fatehpura, Udaipur, Rajasthan","Water-Based Paints & Hardware",263
2172,"New Gandhi Paints & Hardware Mart",Bhilwara,"Gandhi Nagar","Trader O Bhilwara",+919414004355,"Shop 187, Main Road, Gandhi Nagar, Bhilwara, Rajasthan","Water-Based Paints & Hardware",276
2173,"Royal Manu Paint & Sanitary Store",Alwar,"Manu Marg","Trader P Alwar",+919414004357,"Shop 188, Main Road, Manu Marg, Alwar, Rajasthan","Water-Based Paints & Hardware",289
2174,"Modern Fatehpur Colors & Coatings Agency",Sikar,"Fatehpur Road","Trader Q Sikar",+919414004359,"Shop 189, Main Road, Fatehpur Road, Sikar, Rajasthan","Water-Based Paints & Hardware",302
2175,"Star Suratgarh Hardware & Building Materials",Sri Ganganagar,"Suratgarh Road","Trader R Sri Ganganagar",+919414004361,"Shop 190, Main Road, Suratgarh Road, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",315
2176,"Classic Kumher Wall Protect & Texture Depot",Bharatpur,"Kumher Gate","Trader S Bharatpur",+919414004363,"Shop 191, Main Road, Kumher Gate, Bharatpur, Rajasthan","Water-Based Paints & Hardware",328
2177,"National Suraj Trade Associates",Pali,"Suraj Pole","Trader T Pali",+919414004365,"Shop 192, Main Road, Suraj Pole, Pali, Rajasthan","Water-Based Paints & Hardware",341
2178,"Ganesh Fort Paints & Hardware Mart",Chittorgarh,"Fort Road","Trader U Chittorgarh",+919414004367,"Shop 193, Main Road, Fort Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",354
2179,"Maruti Gandhi Paint & Sanitary Store",Nagaur,"Gandhi Chowk","Trader V Nagaur",+919414004369,"Shop 194, Main Road, Gandhi Chowk, Nagaur, Rajasthan","Water-Based Paints & Hardware",367
2180,"Balaji Mandawa Colors & Coatings Agency",Jhunjhunu,"Mandawa Road","Trader W Jhunjhunu",+919414004371,"Shop 195, Main Road, Mandawa Road, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",380
2181,"Kalyan Subhash Hardware & Building Materials",Tonk,"Subhash Chowk","Trader X Tonk",+919414004373,"Shop 196, Main Road, Subhash Chowk, Tonk, Rajasthan","Water-Based Paints & Hardware",393
2182,"Krishna Industrial Wall Protect & Texture Depot",Hanumangarh,"Industrial Area","Trader Y Hanumangarh",+919414004375,"Shop 197, Main Road, Industrial Area, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",406
2183,"Vikas Agra Trade Associates",Dausa,"Agra Road","Trader Z Dausa",+919414004377,"Shop 198, Main Road, Agra Road, Dausa, Rajasthan","Water-Based Paints & Hardware",419
2184,"Shree Station Paints & Hardware Mart",Barmer,"Station Road","Trader A Barmer",+919414004379,"Shop 199, Main Road, Station Road, Barmer, Rajasthan","Water-Based Paints & Hardware",432
2185,"Jai Transport Paint & Sanitary Store",Jaipur,"Transport Nagar","Trader B Jaipur",+919414004381,"Shop 200, Main Road, Transport Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",45
2186,"New Sardarpura Colors & Coatings Agency",Jodhpur,"Sardarpura","Trader C Jodhpur",+919414004383,"Shop 201, Main Road, Sardarpura, Jodhpur, Rajasthan","Water-Based Paints & Hardware",58
2187,"Royal Rampura Hardware & Building Materials",Kota,"Rampura","Trader D Kota",+919414004385,"Shop 202, Main Road, Rampura, Kota, Rajasthan","Water-Based Paints & Hardware",71
2188,"Modern Sadul Wall Protect & Texture Depot",Bikaner,"Sadul Colony","Trader E Bikaner",+919414004387,"Shop 203, Main Road, Sadul Colony, Bikaner, Rajasthan","Water-Based Paints & Hardware",84
2189,"Star Beawar Trade Associates",Ajmer,"Beawar City","Trader F Ajmer",+919414004389,"Shop 204, Main Road, Beawar City, Ajmer, Rajasthan","Water-Based Paints & Hardware",97
2190,"Classic Sukher Paints & Hardware Mart",Udaipur,"Sukher Industrial Area","Trader G Udaipur",+919414004391,"Shop 205, Main Road, Sukher Industrial Area, Udaipur, Rajasthan","Water-Based Paints & Hardware",110
2191,"National RIICO Paint & Sanitary Store",Bhilwara,"RIICO Industrial Area","Trader H Bhilwara",+919414004393,"Shop 206, Main Road, RIICO Industrial Area, Bhilwara, Rajasthan","Water-Based Paints & Hardware",123
2192,"Ganesh Company Colors & Coatings Agency",Alwar,"Company Bagh","Trader I Alwar",+919414004395,"Shop 207, Main Road, Company Bagh, Alwar, Rajasthan","Water-Based Paints & Hardware",136
2193,"Maruti Piprali Hardware & Building Materials",Sikar,"Piprali Road","Trader J Sikar",+919414004397,"Shop 208, Main Road, Piprali Road, Sikar, Rajasthan","Water-Based Paints & Hardware",149
2194,"Balaji Padampur Wall Protect & Texture Depot",Sri Ganganagar,"Padampur Road","Trader K Sri Ganganagar",+919414004399,"Shop 209, Main Road, Padampur Road, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",162
2195,"Kalyan Anah Trade Associates",Bharatpur,"Anah Gate","Trader L Bharatpur",+919414004401,"Shop 210, Main Road, Anah Gate, Bharatpur, Rajasthan","Water-Based Paints & Hardware",175
2196,"Krishna Mandia Paints & Hardware Mart",Pali,"Mandia Road Industrial Area","Trader M Pali",+919414004403,"Shop 211, Main Road, Mandia Road Industrial Area, Pali, Rajasthan","Water-Based Paints & Hardware",188
2197,"Vikas Chanderiya Paint & Sanitary Store",Chittorgarh,"Chanderiya Industrial Area","Trader N Chittorgarh",+919414004405,"Shop 212, Main Road, Chanderiya Industrial Area, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",201
2198,"Shree Makrana Colors & Coatings Agency",Nagaur,"Makrana Marble Zone","Trader O Nagaur",+919414004407,"Shop 213, Main Road, Makrana Marble Zone, Nagaur, Rajasthan","Water-Based Paints & Hardware",214
2199,"Jai Khetri Hardware & Building Materials",Jhunjhunu,"Khetri Nagar","Trader P Jhunjhunu",+919414004409,"Shop 214, Main Road, Khetri Nagar, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",227
2200,"New Niwai Wall Protect & Texture Depot",Tonk,"Niwai Industrial Area","Trader Q Tonk",+919414004411,"Shop 15, Main Road, Niwai Industrial Area, Tonk, Rajasthan","Water-Based Paints & Hardware",240
2201,"Royal Town Trade Associates",Hanumangarh,"Town Main Bazaar","Trader R Hanumangarh",+919414004413,"Shop 16, Main Road, Town Main Bazaar, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",253
2202,"Modern Bandikui Paints & Hardware Mart",Dausa,"Bandikui Mandi","Trader S Dausa",+919414004415,"Shop 17, Main Road, Bandikui Mandi, Dausa, Rajasthan","Water-Based Paints & Hardware",266
2203,"Star Refinery Paint & Sanitary Store",Barmer,"Refinery Site Corridor","Trader T Barmer",+919414004417,"Shop 18, Main Road, Refinery Site Corridor, Barmer, Rajasthan","Water-Based Paints & Hardware",279
2204,"Classic Vaishali Colors & Coatings Agency",Jaipur,"Vaishali Nagar","Trader U Jaipur",+919414004419,"Shop 19, Main Road, Vaishali Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",292
2205,"National Basni Hardware & Building Materials",Jodhpur,"Basni Industrial Area","Trader V Jodhpur",+919414004421,"Shop 20, Main Road, Basni Industrial Area, Jodhpur, Rajasthan","Water-Based Paints & Hardware",305
2206,"Ganesh Vigyan Wall Protect & Texture Depot",Kota,"Vigyan Nagar","Trader W Kota",+919414004423,"Shop 21, Main Road, Vigyan Nagar, Kota, Rajasthan","Water-Based Paints & Hardware",318
2207,"Maruti Bichhwal Trade Associates",Bikaner,"Bichhwal Industrial Area","Trader X Bikaner",+919414004425,"Shop 22, Main Road, Bichhwal Industrial Area, Bikaner, Rajasthan","Water-Based Paints & Hardware",331
2208,"Balaji Kutchery Paints & Hardware Mart",Ajmer,"Kutchery Road","Trader Y Ajmer",+919414004427,"Shop 23, Main Road, Kutchery Road, Ajmer, Rajasthan","Water-Based Paints & Hardware",344
2209,"Kalyan Hiran Paint & Sanitary Store",Udaipur,"Hiran Magri","Trader Z Udaipur",+919414004429,"Shop 24, Main Road, Hiran Magri, Udaipur, Rajasthan","Water-Based Paints & Hardware",357
2210,"Krishna Bhopalganj Colors & Coatings Agency",Bhilwara,"Bhopalganj","Trader A Bhilwara",+919414004431,"Shop 25, Main Road, Bhopalganj, Bhilwara, Rajasthan","Water-Based Paints & Hardware",370
2211,"Vikas Bhiwadi Hardware & Building Materials",Alwar,"Bhiwadi Industrial Zone","Trader B Alwar",+919414004433,"Shop 26, Main Road, Bhiwadi Industrial Zone, Alwar, Rajasthan","Water-Based Paints & Hardware",383
2212,"Shree Kotwali Wall Protect & Texture Depot",Sikar,"Kotwali Market","Trader C Sikar",+919414004435,"Shop 27, Main Road, Kotwali Market, Sikar, Rajasthan","Water-Based Paints & Hardware",396
2213,"Jai Gola Trade Associates",Sri Ganganagar,"Gola Market","Trader D Sri Ganganagar",+919414004437,"Shop 28, Main Road, Gola Market, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",409
2214,"New Circular Paints & Hardware Mart",Bharatpur,"Circular Road","Trader E Bharatpur",+919414004439,"Shop 29, Main Road, Circular Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",422
2215,"Royal Sumerpur Paint & Sanitary Store",Pali,"Sumerpur Road","Trader F Pali",+919414004441,"Shop 30, Main Road, Sumerpur Road, Pali, Rajasthan","Water-Based Paints & Hardware",435
2216,"Modern Collectorate Colors & Coatings Agency",Chittorgarh,"Collectorate Road","Trader G Chittorgarh",+919414004443,"Shop 31, Main Road, Collectorate Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",48
2217,"Star Didwana Hardware & Building Materials",Nagaur,"Didwana Road","Trader H Nagaur",+919414004445,"Shop 32, Main Road, Didwana Road, Nagaur, Rajasthan","Water-Based Paints & Hardware",61
2218,"Classic Chirawa Wall Protect & Texture Depot",Jhunjhunu,"Chirawa Road","Trader I Jhunjhunu",+919414004447,"Shop 33, Main Road, Chirawa Road, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",74
2219,"National Malpura Trade Associates",Tonk,"Malpura Road","Trader J Tonk",+919414004449,"Shop 34, Main Road, Malpura Road, Tonk, Rajasthan","Water-Based Paints & Hardware",87
2220,"Ganesh Junction Paints & Hardware Mart",Hanumangarh,"Junction Market","Trader K Hanumangarh",+919414004451,"Shop 35, Main Road, Junction Market, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",100
2221,"Maruti Station Paint & Sanitary Store",Dausa,"Station Road","Trader L Dausa",+919414004453,"Shop 36, Main Road, Station Road, Dausa, Rajasthan","Water-Based Paints & Hardware",113
2222,"Balaji Sindhari Colors & Coatings Agency",Barmer,"Sindhari Road","Trader M Barmer",+919414004455,"Shop 37, Main Road, Sindhari Road, Barmer, Rajasthan","Water-Based Paints & Hardware",126
2223,"Kalyan Jhotwara Hardware & Building Materials",Jaipur,"Jhotwara","Trader N Jaipur",+919414004457,"Shop 38, Main Road, Jhotwara, Jaipur, Rajasthan","Water-Based Paints & Hardware",139
2224,"Krishna Ratanada Wall Protect & Texture Depot",Jodhpur,"Ratanada","Trader O Jodhpur",+919414004459,"Shop 39, Main Road, Ratanada, Jodhpur, Rajasthan","Water-Based Paints & Hardware",152
2225,"Vikas Mahaveer Trade Associates",Kota,"Mahaveer Nagar","Trader P Kota",+919414004461,"Shop 40, Main Road, Mahaveer Nagar, Kota, Rajasthan","Water-Based Paints & Hardware",165
2226,"Shree Rani Paints & Hardware Mart",Bikaner,"Rani Bazar Industrial Area","Trader Q Bikaner",+919414004463,"Shop 41, Main Road, Rani Bazar Industrial Area, Bikaner, Rajasthan","Water-Based Paints & Hardware",178
2227,"Jai Madar Paint & Sanitary Store",Ajmer,"Madar Gate","Trader R Ajmer",+919414004465,"Shop 42, Main Road, Madar Gate, Ajmer, Rajasthan","Water-Based Paints & Hardware",191
2228,"New Bapu Colors & Coatings Agency",Udaipur,"Bapu Bazar","Trader S Udaipur",+919414004467,"Shop 43, Main Road, Bapu Bazar, Udaipur, Rajasthan","Water-Based Paints & Hardware",204
2229,"Royal Sanganer Hardware & Building Materials",Bhilwara,"Sanganer Road","Trader T Bhilwara",+919414004469,"Shop 44, Main Road, Sanganer Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",217
2230,"Modern Neemrana Wall Protect & Texture Depot",Alwar,"Neemrana Japanese Zone","Trader U Alwar",+919414004471,"Shop 45, Main Road, Neemrana Japanese Zone, Alwar, Rajasthan","Water-Based Paints & Hardware",230
2231,"Star Salasar Trade Associates",Sikar,"Salasar Bus Stand","Trader V Sikar",+919414004473,"Shop 46, Main Road, Salasar Bus Stand, Sikar, Rajasthan","Water-Based Paints & Hardware",243
2232,"Classic Purani Paints & Hardware Mart",Sri Ganganagar,"Purani Abadi","Trader W Sri Ganganagar",+919414004475,"Shop 47, Main Road, Purani Abadi, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",256
2233,"National Mathura Paint & Sanitary Store",Bharatpur,"Mathura Road","Trader X Bharatpur",+919414004477,"Shop 48, Main Road, Mathura Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",269
2234,"Ganesh Somnath Colors & Coatings Agency",Pali,"Somnath Temple Market","Trader Y Pali",+919414004479,"Shop 49, Main Road, Somnath Temple Market, Pali, Rajasthan","Water-Based Paints & Hardware",282
2235,"Maruti Nimbahera Hardware & Building Materials",Chittorgarh,"Nimbahera Town","Trader Z Chittorgarh",+919414004481,"Shop 50, Main Road, Nimbahera Town, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",295
2236,"Balaji Kuchaman Wall Protect & Texture Depot",Nagaur,"Kuchaman City","Trader A Nagaur",+919414004483,"Shop 51, Main Road, Kuchaman City, Nagaur, Rajasthan","Water-Based Paints & Hardware",308
2237,"Kalyan Peeru Trade Associates",Jhunjhunu,"Peeru Singh Circle","Trader B Jhunjhunu",+919414004485,"Shop 52, Main Road, Peeru Singh Circle, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",321
2238,"Krishna Civil Paints & Hardware Mart",Tonk,"Civil Lines","Trader C Tonk",+919414004487,"Shop 53, Main Road, Civil Lines, Tonk, Rajasthan","Water-Based Paints & Hardware",334
2239,"Vikas Rawatsar Paint & Sanitary Store",Hanumangarh,"Rawatsar Road","Trader D Hanumangarh",+919414004489,"Shop 54, Main Road, Rawatsar Road, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",347
2240,"Shree Lalsot Colors & Coatings Agency",Dausa,"Lalsot Road","Trader E Dausa",+919414004491,"Shop 55, Main Road, Lalsot Road, Dausa, Rajasthan","Water-Based Paints & Hardware",360
2241,"Jai Balotra Hardware & Building Materials",Barmer,"Balotra Textile & Hardware Hub","Trader F Barmer",+919414004493,"Shop 56, Main Road, Balotra Textile & Hardware Hub, Barmer, Rajasthan","Water-Based Paints & Hardware",373
2242,"New Sanganer Wall Protect & Texture Depot",Jaipur,"Sanganer Town","Trader G Jaipur",+919414004495,"Shop 57, Main Road, Sanganer Town, Jaipur, Rajasthan","Water-Based Paints & Hardware",386
2243,"Royal Mandore Trade Associates",Jodhpur,"Mandore Road","Trader H Jodhpur",+919414004497,"Shop 58, Main Road, Mandore Road, Jodhpur, Rajasthan","Water-Based Paints & Hardware",399
2244,"Modern Borkhera Paints & Hardware Mart",Kota,"Borkhera","Trader I Kota",+919414004499,"Shop 59, Main Road, Borkhera, Kota, Rajasthan","Water-Based Paints & Hardware",412
2245,"Star Kote Paint & Sanitary Store",Bikaner,"Kote Gate","Trader J Bikaner",+919414004501,"Shop 60, Main Road, Kote Gate, Bikaner, Rajasthan","Water-Based Paints & Hardware",425
2246,"Classic Clock Colors & Coatings Agency",Ajmer,"Clock Tower Market","Trader K Ajmer",+919414004503,"Shop 61, Main Road, Clock Tower Market, Ajmer, Rajasthan","Water-Based Paints & Hardware",438
2247,"National Mewar Hardware & Building Materials",Udaipur,"Mewar Industrial Area","Trader L Udaipur",+919414004505,"Shop 62, Main Road, Mewar Industrial Area, Udaipur, Rajasthan","Water-Based Paints & Hardware",51
2248,"Ganesh Pur Wall Protect & Texture Depot",Bhilwara,"Pur Road","Trader M Bhilwara",+919414004507,"Shop 63, Main Road, Pur Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",64
2249,"Maruti Tijara Trade Associates",Alwar,"Tijara Road","Trader N Alwar",+919414004509,"Shop 64, Main Road, Tijara Road, Alwar, Rajasthan","Water-Based Paints & Hardware",77
2250,"Balaji Station Paints & Hardware Mart",Sikar,"Station Road","Trader O Sikar",+919414004511,"Shop 65, Main Road, Station Road, Sikar, Rajasthan","Water-Based Paints & Hardware",90
2251,"Kalyan Birbal Paint & Sanitary Store",Sri Ganganagar,"Birbal Chowk","Trader P Sri Ganganagar",+919414004513,"Shop 66, Main Road, Birbal Chowk, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",103
2252,"Krishna Sewar Colors & Coatings Agency",Bharatpur,"Sewar Industrial Area","Trader Q Bharatpur",+919414004515,"Shop 67, Main Road, Sewar Industrial Area, Bharatpur, Rajasthan","Water-Based Paints & Hardware",116
2253,"Vikas Suraj Hardware & Building Materials",Pali,"Suraj Pole","Trader R Pali",+919414004517,"Shop 68, Main Road, Suraj Pole, Pali, Rajasthan","Water-Based Paints & Hardware",129
2254,"Shree Fort Wall Protect & Texture Depot",Chittorgarh,"Fort Road","Trader S Chittorgarh",+919414004519,"Shop 69, Main Road, Fort Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",142
2255,"Jai Merta Trade Associates",Nagaur,"Merta City","Trader T Nagaur",+919414004521,"Shop 70, Main Road, Merta City, Nagaur, Rajasthan","Water-Based Paints & Hardware",155
2256,"New Gugali Paints & Hardware Mart",Jhunjhunu,"Gugali Market","Trader U Jhunjhunu",+919414004523,"Shop 71, Main Road, Gugali Market, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",168
2257,"Royal Subhash Paint & Sanitary Store",Tonk,"Subhash Chowk","Trader V Tonk",+919414004525,"Shop 72, Main Road, Subhash Chowk, Tonk, Rajasthan","Water-Based Paints & Hardware",181
2258,"Modern Industrial Colors & Coatings Agency",Hanumangarh,"Industrial Area","Trader W Hanumangarh",+919414004527,"Shop 73, Main Road, Industrial Area, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",194
2259,"Star Agra Hardware & Building Materials",Dausa,"Agra Road","Trader X Dausa",+919414004529,"Shop 74, Main Road, Agra Road, Dausa, Rajasthan","Water-Based Paints & Hardware",207
2260,"Classic Station Wall Protect & Texture Depot",Barmer,"Station Road","Trader Y Barmer",+919414004531,"Shop 75, Main Road, Station Road, Barmer, Rajasthan","Water-Based Paints & Hardware",220
2261,"National VKI Trade Associates",Jaipur,"VKI Industrial Area","Trader Z Jaipur",+919414004533,"Shop 76, Main Road, VKI Industrial Area, Jaipur, Rajasthan","Water-Based Paints & Hardware",233
2262,"Ganesh Pal Paints & Hardware Mart",Jodhpur,"Pal Road","Trader A Jodhpur",+919414004535,"Shop 77, Main Road, Pal Road, Jodhpur, Rajasthan","Water-Based Paints & Hardware",246
2263,"Maruti Indraprastha Paint & Sanitary Store",Kota,"Indraprastha Industrial Area","Trader B Kota",+919414004537,"Shop 78, Main Road, Indraprastha Industrial Area, Kota, Rajasthan","Water-Based Paints & Hardware",259
2264,"Balaji Nokha Colors & Coatings Agency",Bikaner,"Nokha Road","Trader C Bikaner",+919414004539,"Shop 79, Main Road, Nokha Road, Bikaner, Rajasthan","Water-Based Paints & Hardware",272
2265,"Kalyan Parbatpura Hardware & Building Materials",Ajmer,"Parbatpura Industrial Area","Trader D Ajmer",+919414004541,"Shop 80, Main Road, Parbatpura Industrial Area, Ajmer, Rajasthan","Water-Based Paints & Hardware",285
2266,"Krishna Udaisagar Wall Protect & Texture Depot",Udaipur,"Udaisagar Road","Trader E Udaipur",+919414004543,"Shop 81, Main Road, Udaisagar Road, Udaipur, Rajasthan","Water-Based Paints & Hardware",298
